SPECTRUM,GALAXY,SN,CONST_SN,CONST_GAL,Z,A_v,Phase,Band,Frac(SN),Frac(gal),CHI2/dof,CHI2/dof2
SN2019ein.p02_binned.txt,E,IIn/2002bu/KAST phase-band : 5.0B,2.3225534,0.03380563,0.0,1.8,5.0,B,0.95966065,0.040339366,427.96796,0.67184925
SN2019ein.p02_binned.txt,E,IIn/ASASSN-15og/KAST phase-band : 21.49B,2.6966221,0.04103167,0.0,2.0,21.49,B,0.9475665,0.0524335,529.45496,0.8311694
SN2019ein.p02_binned.txt,E,IIn/2010jl/KAST phase-band : 28.57V,2.531912,0.015537005,0.0,2.0,28.57,V,0.97988874,0.020111237,571.24445,0.8967731
SN2019ein.p02_binned.txt,E,IIn/2010jl/KAST phase-band : 43.55V,2.3336332,0.05424909,0.0,2.0,43.55,V,0.9313727,0.068627305,582.8977,0.9150671
SN2019ein.p02_binned.txt,E,IIn/2010jl/LRIS phase-band : 51.64V,2.0852053,0.060168173,0.0,1.6,51.64,V,0.93352973,0.06647024,665.9953,1.0638903
SN2019ein.p02_binned.txt,E,IIn/2009kr/KAST phase-band : 0.17B,1.7123061,0.03237375,0.0,1.0,0.17,B,0.97038573,0.029614273,719.605,1.1296781
SN2019ein.p02_binned.txt,E,IIn/2005cp/DBSP phase-band : 8.0B,1.2298167,0.1403482,0.0,0.2,8.0,B,0.9092237,0.09077633,756.8259,1.2915118
SN2019ein.p02_binned.txt,S0,IIb-flash/2013cu_early/ALFOSC phase-band : -3.99V,0.6200621,0.5917277,0.0,0.0,-3.99,V,0.64375097,0.356249,1100.1244,2.1034884
SN2019ein.p02_binned.txt,Sa,IIn/2010jl/KAST phase-band : 100.47V,1.6557825,0.029204793,0.0,1.0,100.47,V,0.96915793,0.030842064,1845.9677,2.8979084
SN2019ein.p02_binned.txt,E,IIn/2010jl/KAST phase-band : 114.48V,1.447589,0.02650356,0.0,0.8,114.48,V,0.9748926,0.025107367,2158.3958,3.3883765
SN2019ein.p02_binned.txt,Sa,Ca-Ia/2019ofm/DBSP phase-band : 0.17r,1.4108181,0.03005652,0.0,0.4,0.17,r,0.97290146,0.027098548,2517.0374,4.1741915
SN2019ein.p02_binned.txt,E,IIn/2010jl/KAST phase-band : 164.18V,0.866798,0.2339605,0.0,0.2,164.18,V,0.81952316,0.18047681,2793.761,4.3858104
SN2019ein.p02_binned.txt,S0,Ca-Ia/2016hnk/RSS phase-band : 2.0B,0.21473597,0.80637175,0.0,-1.4,2.0,B,0.51273036,0.48726964,3720.4702,6.620054
SN2019ein.p02_binned.txt,S0,IIn/2010jl/KAST phase-band : 206.19V,0.27903447,0.56871986,0.0,-1.6,206.19,V,0.7127241,0.2872759,4337.3364,6.8628745
