SPECTRUM,GALAXY,SN,CONST_SN,CONST_GAL,Z,A_v,Phase,Band,Frac(SN),Frac(gal),CHI2/dof,CHI2/dof2
sn1994d.m05_binned.txt,Sb,Ib/2009iz/LRIS phase-band : -4.29B,1.4622751,0.013272201,0.0,0.8,-4.29,B,0.98709506,0.012904952,181.23283,0.30105123
sn1994d.m05_binned.txt,Sc,Ib/2005bf/WFCCD phase-band : -23.0B,2.4142087,0.1783261,0.0,2.0,-23.0,B,0.76822114,0.23177886,173.94693,0.3430906
sn1994d.m05_binned.txt,S0,Ib/2005bf/WFCCD phase-band : -19.0B,2.5594497,0.13058871,0.0,2.0,-19.0,B,0.8536027,0.14639728,240.67384,0.47470188
sn1994d.m05_binned.txt,Sb,Ib/2015ah/KAST phase-band : 4.47B,1.4478704,0.03216075,0.0,0.8,4.47,B,0.9689717,0.031028291,301.73618,0.50122285
sn1994d.m05_binned.txt,Sb,Ib/2006ep/KAST phase-band : -5.63B,1.4415077,0.02009164,0.0,0.6,-5.63,B,0.9818862,0.018113783,360.1347,0.59823036
sn1994d.m05_binned.txt,Sb,Ib/2005bf/LRIS phase-band : 3.39B,1.4996907,0.08285226,0.0,0.4,3.39,B,0.93695015,0.06304984,634.82404,1.2231677
sn1994d.m05_binned.txt,Sb,Ib/2005bf/LRIS phase-band : 3.0B,1.4899379,0.08339586,0.0,0.4,3.0,B,0.9365415,0.06345851,635.37524,1.2242298
sn1994d.m05_binned.txt,Sb,Ib/2004gq/LRIS phase-band : -6.0B,1.412539,0.019744938,0.0,0.2,-6.0,B,0.98606265,0.013937357,894.6464,1.6976213
sn1994d.m05_binned.txt,Sc,Ca-Ib/2016hgs/DBSP phase-band : 6.0g,0.79203373,0.058267735,0.0,-1.0,6.0,g,0.96590203,0.034097992,2257.808,3.7505116
sn1994d.m05_binned.txt,Sc,Ca-Ib/2010et/LRIS phase-band : 4.15g,0.90493315,0.070335865,0.0,-0.8,4.15,g,0.9575344,0.042465642,2494.9805,4.2287803
sn1994d.m05_binned.txt,Sc,Ca-Ib/2005E/LRIS phase-band : -1.65V,1.2525246,0.08873406,0.0,-0.2,-1.65,V,0.9374813,0.062518746,2378.584,4.5918612
sn1994d.m05_binned.txt,Sc,Ib/2015ah/KAST phase-band : 17.46B,0.37567526,0.71794444,0.0,-0.4,17.46,B,0.42870417,0.57129586,2970.5437,4.934458
sn1994d.m05_binned.txt,S0,Ib/2004ao/KAST phase-band : 122.0B,0.53916806,0.37455449,0.0,-0.4,122.0,B,0.7314284,0.2685716,3017.295,5.012118
sn1994d.m05_binned.txt,Sa,Ca-Ib/2016hgs/LRIS phase-band : 11.29g,0.5438394,0.038003974,0.0,-1.6,11.29,g,0.98391974,0.016080284,3146.5889,5.2268915
sn1994d.m05_binned.txt,S0,Ib/2006ep/KAST phase-band : 11.32B,0.59220237,0.33810955,0.0,-0.4,11.32,B,0.75118095,0.24881908,3161.5618,5.251764
sn1994d.m05_binned.txt,S0,Ib/2015ah/KAST phase-band : 45.33B,0.8337434,0.0046062595,0.0,-0.4,45.33,B,0.99686927,0.003130723,3167.0605,5.2608976
sn1994d.m05_binned.txt,Sb,Ca-Ib/PTF11kmb/LRIS phase-band : 1.51r,0.78943497,0.010806191,0.0,-0.8,1.51,r,0.99384046,0.0061595147,3226.9822,5.3604355
sn1994d.m05_binned.txt,Sc,Ib/2004ao/KAST phase-band : 101.0B,0.055059824,1.0863479,0.0,-0.6,101.0,B,0.08018513,0.9198149,3264.3533,5.422514
sn1994d.m05_binned.txt,Sc,Ib/2004ao/LRIS phase-band : 248.0B,0.035032824,1.1045625,0.0,-0.6,248.0,B,0.062870465,0.93712956,2914.621,5.437726
sn1994d.m05_binned.txt,Sc,Ib/2004gq/KAST phase-band : -0.68B,0.5440508,0.1270587,0.0,-1.8,-0.68,B,0.94868976,0.051310256,3495.3955,5.806305
